Date,AAPL,JPM,JNJ,XOM,PG,CAT,NEE,AMZN,LIN,PLD
2019-07-02,1.5251766131973385,0.8884042844564339,0.6204418094467745,0.8302600416862604,0.42516470603049844,1.5458774760165694,0.17818950412409415,1.8574917570270726,0.7797408343768811,0.636235290262482
2019-07-03,1.5233907454021247,0.885132705009406,0.6235110026783455,0.8329244525110658,0.4311077186840066,1.541716439407268,0.17789448405603775,1.8535618743647693,0.7780111257814268,0.6406191486131032
2019-07-05,1.5209636783832854,0.8822080766080965,0.6272061329993923,0.8354956964186705,0.4314225237470108,1.5391925460346079,0.17762031259691094,1.8525095744939615,0.7776075267466888,0.643180912026502
2019-07-08,1.525692883318313,0.8829743197239719,0.6214986254018824,0.8355661811748006,0.42544651545265594,1.5378908057755574,0.17743894896414883,1.8538595493756032,0.7699438386631499,0.6402299669120033
2019-07-09,1.5255264343589396,0.8846182426886152,0.6214625082509206,0.8377671898355825,0.42632021207933585,1.5431271828313413,0.17441476353250046,1.8577396880852681,0.7676438558945047,0.6413275050810424
2019-07-10,1.5259094128658204,0.8750085711531317,0.6219119150649719,0.8397246829779788,0.4355911914521222,1.5296527960162623,0.18678568534587717,1.858823867706216,0.7686249676859387,0.6460883073213344
2019-07-11,1.5258848350169518,0.8768900433248882,0.6200261244253727,0.8387684101763759,0.43285521227624785,1.5306215959145109,0.18552532887757422,1.858356935901339,0.767947301187282,0.6442293493301905
2019-07-12,1.5253195652302254,0.8792792537975416,0.6103191512963214,0.8361852000701893,0.43106064801288246,1.5288356659611895,0.18570091687878598,1.8640003576843422,0.7651088702535611,0.6404280616935116
2019-07-15,1.5240180329647193,0.8806506799594723,0.6079442193531034,0.8383272837985585,0.4341887942366573,1.5264926458972323,0.186452398480973,1.8613235506177308,0.763771401410914,0.6412492900174913
2019-07-16,1.5237478798506798,0.8786703191852103,0.6107657698964695,0.83997630546049,0.4335248473407273,1.5259897295254914,0.18707771589738717,1.8609688333763814,0.7645046420767865,0.6380999609649778
2019-07-17,1.522451285189158,0.8822105855144694,0.6105341567002035,0.8395037625513472,0.4331198597594875,1.529103078666417,0.18407655068364534,1.8604301625494875,0.7644481056446266,0.6361574453747524
2019-07-18,1.5237951784774746,0.8832757689945145,0.6052350740937484,0.8387478522598112,0.43250681921788725,1.5274168008295572,0.18510053980650143,1.8577978442186995,0.7659967746538838,0.641605425361884
2019-07-19,1.5260607113544216,0.883908993117665,0.6088406014760209,0.836867163620427,0.4337393887438355,1.5188374415308863,0.18895241575015467,1.8568635429940308,0.7663398173297928,0.647226353832528
2019-07-22,1.5305571340516502,0.8822956359911304,0.6050271585859827,0.8369631014634648,0.43311311050467355,1.5176419893926354,0.1894544241183743,1.8558417540170966,0.7667794185573603,0.6493184912738024
2019-07-23,1.5297301994876022,0.8864152947179601,0.6042696887602272,0.8362387339379129,0.4282371210624742,1.5198047471417067,0.18596274019844658,1.8536317105536235,0.7696412077440358,0.6517349040346531
2019-07-24,1.5283541329641623,0.8852852288103626,0.6047631749818226,0.8356236943897183,0.4258243702104482,1.5105801508304244,0.18863126702105035,1.8532378053871896,0.7667329690050777,0.6502306586778446
2019-07-25,1.5283674846745001,0.8859167459879582,0.5980055131832452,0.8327547615388158,0.4247826310056735,1.5025293923230154,0.19014727307007714,1.8529420045220384,0.7684668266456042,0.6534517619465292
2019-07-26,1.5276909857014331,0.8849034569872197,0.5999747124264065,0.8305915882201842,0.428383261177865,1.4933983823266457,0.1981437609201232,1.8433212213172818,0.7653567376047672,0.648297607183901
2019-07-29,1.5269377996521662,0.88502222240038,0.6005536331231636,0.8313917678458287,0.42862473461711387,1.4950402356945096,0.19763164880377537,1.8409289323034201,0.766571114427837,0.6509833978024309
2019-07-30,1.5250186779550734,0.8897513435792653,0.6052456540013957,0.8246951515007899,0.42616202873024384,1.4988546224922596,0.19688080619346685,1.8463109068751211,0.7696752682356357,0.652165097928529
2019-07-31,1.5082266245826912,0.8862944049974821,0.6109291985382975,0.8272586705526886,0.4331106391079195,1.4927165769415762,0.2002625586585778,1.8420128532224351,0.7779298423466939,0.6580855359150511
2019-08-01,1.5126219736035296,0.8973511828282749,0.6085892242832076,0.8355064222070623,0.4356174655904831,1.4974813344682851,0.19289391545199158,1.839843092405333,0.7754249660331711,0.6541847604720873
2019-08-02,1.51910054569229,0.8956530259676955,0.6053491701923551,0.8358967239812751,0.43568115370866706,1.497668150480243,0.19109742940390687,1.8417623000276038,0.7776956513115509,0.6543916393273742
2019-08-05,1.5234353304798152,0.89932472716325,0.5944857084501796,0.8319761980185201,0.4543876087929094,1.4731510751515262,0.20335730407896385,1.8112658171936693,0.7337634734115865,0.661581977279159
2019-08-06,1.5237816135271007,0.8966053173964768,0.5923707561643546,0.8315246805341392,0.4560166747046751,1.46562063544076,0.2084302626694736,1.8083122620491978,0.7226958607828412,0.6633925994259254
2019-08-07,1.5240517451716724,0.8963765299203631,0.592467608486781,0.8317379014335514,0.4563736713433698,1.4649986214910358,0.2089461281332409,1.8073715572140265,0.7287631476493245,0.6646893398195167
2019-08-08,1.52068410250148,0.896480573852332,0.5931932103327239,0.8390241097571871,0.4614353779330586,1.450585991925994,0.21393856637818845,1.798194409402252,0.7260277886281469,0.671833232515591
2019-08-09,1.520195411355587,0.8951533728731891,0.5913844293477946,0.8430839740090702,0.4624606417375262,1.4534191329557018,0.21218735926298601,1.798893992121427,0.7258502837624894,0.6720118693360089
2019-08-12,1.5127873602166562,0.8985006775888226,0.5883151666400936,0.8399519356000527,0.4628149387031808,1.45497450240575,0.21400352932610134,1.794617443718272,0.7213161182375293,0.6689461066956802
2019-08-13,1.5265784449641977,0.8987708395220683,0.5898241498235427,0.8414798100947372,0.4645835212451409,1.4515659991283492,0.21220831507188298,1.7935714563310143,0.7133713313467219,0.6608377130581138
2019-08-14,1.5117491184447442,0.9137509604310338,0.5969068807487533,0.8575404148463561,0.4652460632661426,1.4390767454943207,0.21012169170558231,1.7740813165031233,0.7330398476191957,0.6615695989480764
2019-08-15,1.5122691304454328,0.9136628495239646,0.59925966430275,0.8588400765901341,0.4680016043251763,1.4411295737956618,0.21059159177767509,1.7740911509891872,0.7330300546678148,0.6651290131759521
2019-08-16,1.5173070965385884,0.9193073826520721,0.6012957667568786,0.8576982643151132,0.4759218594416831,1.4326019010745497,0.21090332208659743,1.7636094293623739,0.7331315944914562,0.6705107250760384
2019-08-19,1.5166593515318034,0.9177379354239651,0.5978167357713013,0.8586257087034475,0.4732221631776123,1.4222843658698114,0.20961165737418644,1.763418162661763,0.7316387056864134,0.6711127488529911
2019-08-20,1.5111558881088467,0.9196910103360575,0.5986143959827,0.8581908399174736,0.476324332195687,1.4182498507418406,0.20911638763371718,1.7625531775784244,0.7316260853705928,0.6720321256022227
2019-08-21,1.5118320895289024,0.9185668637796099,0.597859634453497,0.8587347220878921,0.4757095963983276,1.4181570500524303,0.21182647611972236,1.76252091097642,0.7302166576857402,0.673025211056783
2019-08-22,1.5122068241673687,0.9179830735648997,0.5988056031390291,0.8588529553313992,0.47565223699778547,1.4175600408876592,0.21262508481361309,1.7627402944467212,0.7305815245069457,0.675182794492819
2019-08-23,1.5189255924378913,0.9187668740785042,0.6096509534991562,0.8660429362919435,0.482022223262597,1.4128862967080953,0.207084543586204,1.7481867954658774,0.7274773534023988,0.68323365166628
